Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Herbaceous perennial,Monarde citron,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,monarde citron,
Flowering Plant,Montana Jack,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",8.0,1.0,montana jack,h
Flower,Moravsky Div,24.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,moravsky div,
Flowering Plant,Morden Early,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,morden early,
Tomato,Mortgage Lifter,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,mortgage lifter,
Flowering Plant,Moscow,24.0,"[""NPK"",""Compost""]",4.0,1.0,moscow,
Vegetable,Moskvich,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,moskvich,
Flowering plant,Mountain Sweet Yellow,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,mountain sweet yellow,
Flowering plant,Mrihani,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,2.0,mrihani,
Flowering Plant,Muchacha,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",8.0,0.5,muchacha,
Fruit,Muscat,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,muscat,
Vegetable,Napoletano,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,napoletano,
Vegetable,Nardello,48.0,"[""Compost"",""Organic fertilizer""]",4.0,1.0,nardello,
Flowering Plant,Navajo Winter,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,navajo winter,
Flowering plant,Neckarperle,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,neckarperle,
Perennial,New Zealand Blue,48.0,"[""NPK 10-10-10"",""Compost"",""Seaweed extract""]",4.0,0.5,new zealand blue,
Medicinal Plant,Azadirachta indica,48.0,"[""Organic compost"",""Neem cake""]",4.0,1.0,nimba,
Vegetable,Nippon Sanjaku Kiuri,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",2.0,1.0,nippon sanjaku kiuri,
Vegetable,Noir de Toscane,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,noir de toscane,
Flowering plant,Noir des Carmes,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,noir des carmes,
Vegetable,Noir Long de Caluire,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,noir long de caluire,
Flowering Plant,Nopode de Berlandier,48.0,"[""All-purpose fertilizer"",""Organic compost""]",4.0,0.5,nopode de berlandier,
Vegetable,Numex Suave Orange,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,numex suave orange,
Flower,Oaxacan Rose,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.5,oaxacan rose,
Flowering Plant,Odessa,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,odessa,
Vegetable,Odessa Ronde,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,odessa ronde,
Herb,Officinale,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,officinale,
Vegetable,Ogen,6.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,ogen,h
Flowering Plant,Ohio Dutch,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,ohio dutch,
Ornamental Plant,Okinawa,48.0,"[""NPK"",""Compost""]",4.0,0.5,okinawa,
Flowering plant,Old Mexico,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,old mexico,
Flowering plant,Onagre des sables,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,onagre des sables,
Vegetable,Opalka,36.0,"[""Nitrogen-rich fertilizers"",""Organic compost""]",3.0,0.75,opalka,
Flowering Plant,Opsis des teinturiers,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,opsis des teinturiers,
Fruit,Orange,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",8.0,1.0,orange,
Fruit,Orange Banana,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,6.0,orange banana,
Fruit,Orange Bourgois,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,6.0,orange bourgois,
Flowering Plant,Orange Centiflor,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,orange centiflor,
Fruit Plant,Orange Giant,72.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,orange giant,
Flowering Plant,Orange Queen,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,orange queen,
Fruit,Orange Strawberry,48.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4.0,0.5,orange strawberry,
Vegetable,Oregon Spring,48.0,"[""NPK"",""Compost"",""Fish Emulsion""]",2.0,0.5,oregon spring,
Ornamental Plant,Orenbourg,48.0,"[""NPK"",""Compost""]",4.0,1.0,orenbourg,
Flowering Plant,Orinoco White Stem,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,orinoco white stem,
Flowering Plant,Oriole,48.0,"[""10-10-10 NPK Fertilizer"",""Bone Meal"",""Compost""]",4.0,1.0,oriole,
Flowering Plant,Ortho,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,ortho,
Vegetable,Osaka Purple,24.0,"[""NPK 10-10-10"",""Compost""]",2.0,0.5,osaka purple,
Flowering Plant,Oscar Blanco,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,oscar blanco,
Flowering Plant,Osmin,48.0,"[""NPK"",""Compost"",""Organic Fertilizer""]",4.0,2.0,osmin,
Perennial,Paiute,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,paiute,
Flowering Plant,Pal,24.0,"[""NPK"",""Organic compost""]",4.0,1.0,pal,
Vegetable,Palaise,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,1.0,palaise,
Fruit,Pantos,48.0,"[""NPK"",""Compost""]",4.0,1.0,pantos,
