Plant Category,Seed Name,Average Precipitation per day,Average Temperature (2 m),Average Soil Temperature (0 to 6 cm),Average Sunshine Duration(s),Humidity(%),Rainfall Alert Maximum Rain (mm),Average Soil Moisture (0-3 cm)
Herbaceous perennial,Monarde citron,3.5,22.5,18.0,30000.0,70.0,25.0,0.25
Flowering Plant,Montana Jack,10.0,18.0,15.0,28800.0,60.0,50.0,0.3
Flower,Moravsky Div,5.0,22.0,18.0,18000.0,60.0,20.0,0.3
Flowering Plant,Morden Early,5.0,22.0,18.0,18000.0,60.0,20.0,0.3
Tomato,Mortgage Lifter,5.0,18.0,22.0,3000.0,70.0,50.0,0.3
Flowering Plant,Moscow,10.0,20.0,15.0,6000.0,60.0,20.0,0.4
Vegetable,Moskvich,5.0,25.0,18.0,6000.0,60.0,20.0,0.4
Flowering plant,Mountain Sweet Yellow,5.0,20.0,15.0,6000.0,70.0,20.0,0.3
Flowering plant,Mrihani,5.0,25.0,20.0,18000.0,60.0,50.0,0.25
Flowering Plant,Muchacha,6.2,25.6,23.8,28500.0,65.0,50.0,0.32
Fruit,Muscat,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Vegetable,Napoletano,5.0,25.0,20.0,3000.0,60.0,20.0,0.3
Vegetable,Nardello,5.0,20.0,18.0,30000.0,60.0,50.0,0.3
Flowering Plant,Navajo Winter,5.0,20.0,15.0,36000.0,60.0,30.0,0.2
Flowering plant,Neckarperle,5.0,21.0,18.0,5000.0,60.0,50.0,0.3
Perennial,New Zealand Blue,5.0,18.0,14.0,30000.0,70.0,20.0,0.3
Medicinal Plant,Azadirachta indica,10.0,25.0,28.0,3600.0,70.0,100.0,0.3
Vegetable,Nippon Sanjaku Kiuri,5.0,25.0,20.0,3600.0,70.0,20.0,0.3
Vegetable,Noir de Toscane,5.0,18.0,15.0,24000.0,60.0,10.0,0.3
Flowering plant,Noir des Carmes,5.0,20.0,18.0,5000.0,60.0,20.0,0.4
Vegetable,Noir Long de Caluire,4.0,18.0,15.0,3000.0,60.0,20.0,0.25
Flowering Plant,Nopode de Berlandier,5.0,25.0,20.0,3600.0,60.0,15.0,0.3
Vegetable,Numex Suave Orange,5.0,22.0,18.0,3600.0,60.0,20.0,0.3
Flower,Oaxacan Rose,10.0,25.0,20.0,3600.0,60.0,50.0,0.3
Flowering Plant,Odessa,10.0,25.0,20.0,6000.0,60.0,50.0,0.3
Vegetable,Odessa Ronde,10.0,25.0,20.0,18000.0,60.0,20.0,0.3
Herb,Officinale,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Vegetable,Ogen,5.0,20.0,18.0,600.0,60.0,20.0,0.3
Flowering Plant,Ohio Dutch,5.0,22.0,18.0,3600.0,60.0,20.0,0.3
Ornamental Plant,Okinawa,10.0,25.0,20.0,6000.0,70.0,50.0,0.5
Flowering plant,Old Mexico,5.0,25.0,20.0,30000.0,60.0,20.0,0.3
Flowering plant,Onagre des sables,10.0,25.0,20.0,6000.0,60.0,50.0,0.3
Vegetable,Opalka,3.0,21.5,17.5,2600.0,55.0,75.0,0.30000000000000004
Flowering Plant,Opsis des teinturiers,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Fruit,Orange,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
Fruit,Orange Banana,5.0,25.0,20.0,3600.0,70.0,30.0,0.3
Fruit,Orange Bourgois,5.0,25.0,20.0,18000.0,60.0,50.0,0.4
Flowering Plant,Orange Centiflor,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Fruit Plant,Orange Giant,5.0,22.0,18.0,3600.0,65.0,50.0,0.3
Flowering Plant,Orange Queen,5.0,25.0,20.0,3600.0,70.0,50.0,0.3
Fruit,Orange Strawberry,5.0,20.0,15.0,36000.0,70.0,30.0,0.3
Vegetable,Oregon Spring,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Ornamental Plant,Orenbourg,10.0,25.0,20.0,6000.0,60.0,50.0,0.4
Flowering Plant,Orinoco White Stem,5.0,25.0,20.0,36000.0,70.0,20.0,0.3
Flowering Plant,Oriole,5.0,25.0,20.0,8000.0,60.0,50.0,0.3
Flowering Plant,Ortho,10.0,25.0,20.0,3600.0,70.0,50.0,0.3
Vegetable,Osaka Purple,5.0,25.0,18.0,6000.0,60.0,20.0,0.3
Flowering Plant,Oscar Blanco,5.0,25.0,20.0,3600.0,70.0,50.0,0.4
Flowering Plant,Osmin,5.0,25.0,22.0,6000.0,70.0,10.0,0.4
Perennial,Paiute,2.3,24.5,18.7,28800.0,65.0,30.0,0.25
Flowering Plant,Pal,5.0,25.0,20.0,6000.0,60.0,10.0,0.3
Vegetable,Palaise,5.0,20.0,18.0,12000.0,70.0,50.0,0.3
Fruit,Pantos,5.0,25.0,20.0,3600.0,60.0,50.0,0.4
